unique_id,ds,Open,High,Low,Close
QQQ,2025-02-03 04:00:00,513.3000,514.3700,508.0000,513.1700
QQQ,2025-02-03 04:30:00,513.2600,513.9500,512.5400,512.7100
QQQ,2025-02-03 05:00:00,512.7200,513.4700,512.1900,513.3000
QQQ,2025-02-03 05:30:00,513.4300,514.2800,513.4000,513.8700
QQQ,2025-02-03 06:00:00,514.1000,514.9400,513.9000,514.0500
QQQ,2025-02-03 06:30:00,514.0900,514.2900,513.1000,513.7900
QQQ,2025-02-03 07:00:00,513.7900,513.8700,512.6200,513.4700
QQQ,2025-02-03 07:30:00,513.4800,513.5400,512.0900,512.5800
QQQ,2025-02-03 08:00:00,512.6100,522.2949,507.5000,513.6400
QQQ,2025-02-03 08:30:00,513.5900,522.2900,510.4000,513.1900
QQQ,2025-02-03 09:00:00,513.2000,513.8800,512.6700,513.4900
QQQ,2025-02-03 09:30:00,513.4700,515.8400,512.5000,513.5200
QQQ,2025-02-03 10:00:00,513.5000,517.0300,511.0500,516.8500
QQQ,2025-02-03 10:30:00,516.8000,519.2500,516.0800,518.4700
QQQ,2025-02-03 11:00:00,518.4401,519.6300,516.5400,518.1100
QQQ,2025-02-03 11:30:00,518.1200,519.4300,517.2200,517.6000
QQQ,2025-02-03 12:00:00,517.6400,519.2900,517.1180,517.7950
QQQ,2025-02-03 12:30:00,517.7800,518.6400,516.5100,518.0000
QQQ,2025-02-03 13:00:00,518.0000,518.7700,516.8100,518.2900
QQQ,2025-02-03 13:30:00,518.3400,519.6920,517.9200,519.5800
QQQ,2025-02-03 14:00:00,519.5300,520.8496,513.1000,520.1300
QQQ,2025-02-03 14:30:00,520.1300,520.7239,519.8600,520.0526
QQQ,2025-02-03 15:00:00,520.0800,520.5400,519.2658,519.3750
QQQ,2025-02-03 15:30:00,519.3800,519.6900,517.9400,518.1450
QQQ,2025-02-03 16:00:00,518.1400,522.5167,517.7000,520.5900
QQQ,2025-02-03 16:30:00,520.6000,522.5167,520.2200,521.6100
QQQ,2025-02-03 17:00:00,521.6400,522.1000,518.1100,522.0300
QQQ,2025-02-03 17:30:00,522.0250,522.6200,522.0100,522.5500
QQQ,2025-02-03 18:00:00,522.6200,522.7696,522.0200,522.1200
QQQ,2025-02-03 18:30:00,522.1600,522.3500,521.8000,522.1801
QQQ,2025-02-03 19:00:00,522.2000,522.3000,521.4000,521.6611
QQQ,2025-02-03 19:30:00,521.6600,522.0000,521.5400,521.6850
QQQ,2025-02-04 04:00:00,517.2800,518.1500,517.1200,517.8000
QQQ,2025-02-04 04:30:00,517.6800,517.8300,517.0000,517.3400
QQQ,2025-02-04 05:00:00,517.3300,518.1100,517.1000,517.8900
QQQ,2025-02-04 05:30:00,517.8500,518.0200,517.4000,517.8800
QQQ,2025-02-04 06:00:00,517.8500,518.6300,517.5500,518.3500
QQQ,2025-02-04 06:30:00,518.3000,518.6300,518.0400,518.1000
QQQ,2025-02-04 07:00:00,518.1600,519.3500,518.0800,519.3000
QQQ,2025-02-04 07:30:00,519.3000,520.4300,518.9700,519.4800
QQQ,2025-02-04 08:00:00,519.4100,520.3700,514.3800,519.4999
QQQ,2025-02-04 08:30:00,519.4600,519.5400,518.1100,518.9000
QQQ,2025-02-04 09:00:00,518.9100,519.2700,512.1300,518.6200
QQQ,2025-02-04 09:30:00,518.6300,522.3100,518.2300,521.9400
QQQ,2025-02-04 10:00:00,521.9700,524.4100,521.9400,523.8400
QQQ,2025-02-04 10:30:00,523.8500,524.7900,523.3500,523.6450
QQQ,2025-02-04 11:00:00,523.6800,524.8900,519.5700,524.8704
QQQ,2025-02-04 11:30:00,524.8400,525.1100,523.6704,524.2152
QQQ,2025-02-04 12:00:00,524.2105,524.2800,521.8300,521.9400
QQQ,2025-02-04 12:30:00,522.0000,523.4408,521.6800,523.4001
QQQ,2025-02-04 13:00:00,523.4000,523.7700,522.1101,523.6600
QQQ,2025-02-04 13:30:00,523.6500,523.9400,523.3800,523.3800
QQQ,2025-02-04 14:00:00,523.3800,524.7488,523.1401,524.2800
QQQ,2025-02-04 14:30:00,524.2900,524.6300,523.1200,523.7500
QQQ,2025-02-04 15:00:00,523.8000,524.2500,523.4800,523.5900
QQQ,2025-02-04 15:30:00,523.5900,524.9500,523.4900,524.5400
QQQ,2025-02-04 16:00:00,524.5300,525.0900,518.1240,523.0000
QQQ,2025-02-04 16:30:00,522.9700,524.4700,522.1000,522.4100
QQQ,2025-02-04 17:00:00,522.4200,524.4700,521.7500,522.0000
QQQ,2025-02-04 17:30:00,522.0500,522.2950,521.6600,521.7300
QQQ,2025-02-04 18:00:00,521.7300,522.6550,521.6700,522.4100
QQQ,2025-02-04 18:30:00,522.4800,522.5800,521.9800,521.9800
QQQ,2025-02-04 19:00:00,522.0900,522.5900,521.7500,522.5200
QQQ,2025-02-04 19:30:00,522.5500,523.2000,522.5500,522.7800
QQQ,2025-02-05 04:00:00,520.8300,520.8300,519.4900,519.7000
QQQ,2025-02-05 04:30:00,519.7000,519.7900,519.0000,519.1000
QQQ,2025-02-05 05:00:00,519.0000,519.8900,518.8900,519.7800
QQQ,2025-02-05 05:30:00,519.7800,520.1000,519.6200,520.0700
QQQ,2025-02-05 06:00:00,520.0400,520.3700,519.9300,520.2200
QQQ,2025-02-05 06:30:00,520.2600,520.5000,520.0200,520.4300
QQQ,2025-02-05 07:00:00,520.4500,520.5600,519.8800,520.5500
QQQ,2025-02-05 07:30:00,520.4700,520.9000,520.2700,520.8600
QQQ,2025-02-05 08:00:00,519.8682,524.4700,519.1630,521.2300
QQQ,2025-02-05 08:30:00,521.2400,524.4700,520.7600,521.2150
QQQ,2025-02-05 09:00:00,521.2900,521.9000,520.8200,521.8100
QQQ,2025-02-05 09:30:00,521.8200,522.7300,521.0400,522.1000
QQQ,2025-02-05 10:00:00,522.2600,523.2500,520.6200,522.5400
QQQ,2025-02-05 10:30:00,522.5000,523.0500,521.6900,522.7648
QQQ,2025-02-05 11:00:00,522.7500,523.7400,522.1000,523.4900
QQQ,2025-02-05 11:30:00,523.4500,525.8100,523.3000,525.5950
QQQ,2025-02-05 12:00:00,525.6400,526.3600,525.3301,525.5200
QQQ,2025-02-05 12:30:00,525.5451,525.8000,525.0000,525.4700
QQQ,2025-02-05 13:00:00,525.5150,525.7300,524.7000,525.1584
QQQ,2025-02-05 13:30:00,525.1100,525.9000,524.9000,525.6300
QQQ,2025-02-05 14:00:00,525.6000,526.2300,525.5205,525.7700
QQQ,2025-02-05 14:30:00,525.7950,525.9500,525.4450,525.5702
QQQ,2025-02-05 15:00:00,525.5600,526.6190,525.5600,526.4000
QQQ,2025-02-05 15:30:00,526.4300,527.0100,525.1100,526.8500
QQQ,2025-02-05 16:00:00,526.8500,527.6500,513.0300,527.0100
QQQ,2025-02-05 16:30:00,526.9900,527.1300,526.6201,527.1300
QQQ,2025-02-05 17:00:00,527.0900,554.6785,526.8500,526.9010
QQQ,2025-02-05 17:30:00,526.9100,527.0000,526.6999,526.7000
QQQ,2025-02-05 18:00:00,526.7500,527.0300,526.5500,526.8600
QQQ,2025-02-05 18:30:00,526.8410,527.1500,526.6000,527.1300
QQQ,2025-02-05 19:00:00,527.1185,527.6800,527.0810,527.5200
QQQ,2025-02-05 19:30:00,527.5000,527.5988,526.9600,527.1900
QQQ,2025-02-06 04:00:00,527.3500,528.6100,527.3500,528.1100
QQQ,2025-02-06 04:30:00,528.0300,528.2800,527.7100,527.7100
QQQ,2025-02-06 05:00:00,527.7300,528.1000,527.5100,527.5100
QQQ,2025-02-06 05:30:00,527.5300,527.7600,527.2900,527.3800
QQQ,2025-02-06 06:00:00,527.3800,527.3800,526.4000,526.6300
QQQ,2025-02-06 06:30:00,526.6600,526.7500,525.8700,526.1100
QQQ,2025-02-06 07:00:00,526.1000,526.5000,525.6400,526.4000
QQQ,2025-02-06 07:30:00,526.4000,527.0200,526.1000,526.9400
QQQ,2025-02-06 08:00:00,526.1600,528.6400,525.6305,527.0800
QQQ,2025-02-06 08:30:00,527.1500,527.2900,526.5100,527.2700
QQQ,2025-02-06 09:00:00,527.3300,527.4400,526.9500,527.3300
QQQ,2025-02-06 09:30:00,527.3600,528.4000,526.4000,527.6200
QQQ,2025-02-06 10:00:00,527.6300,529.0200,527.0300,527.6900
QQQ,2025-02-06 10:30:00,527.6800,528.7300,526.4400,527.1994
QQQ,2025-02-06 11:00:00,527.1900,528.2000,527.1202,527.8700
QQQ,2025-02-06 11:30:00,527.8800,527.9200,526.7700,527.1498
QQQ,2025-02-06 12:00:00,527.1800,528.0201,526.6300,527.4320
QQQ,2025-02-06 12:30:00,527.4600,528.5750,527.1100,528.2300
QQQ,2025-02-06 13:00:00,528.2500,528.7200,527.8900,528.5900
QQQ,2025-02-06 13:30:00,528.6000,528.8400,527.8629,528.2400
QQQ,2025-02-06 14:00:00,528.2000,528.5800,527.6100,527.7900
QQQ,2025-02-06 14:30:00,527.8099,527.8099,525.7413,526.5900
QQQ,2025-02-06 15:00:00,526.5600,527.7200,526.3300,527.6250
QQQ,2025-02-06 15:30:00,527.6400,529.8100,527.5700,529.5900
QQQ,2025-02-06 16:00:00,529.5800,529.7088,521.1850,528.8101
QQQ,2025-02-06 16:30:00,528.8400,529.6100,528.3200,528.9100
QQQ,2025-02-06 17:00:00,528.8800,529.6000,498.7009,527.9300
QQQ,2025-02-06 17:30:00,527.8600,528.3300,527.6600,527.8700
QQQ,2025-02-06 18:00:00,528.1000,529.1790,528.0000,529.0550
QQQ,2025-02-06 18:30:00,529.0200,529.1700,528.8500,529.1100
QQQ,2025-02-06 19:00:00,529.0650,529.2400,528.9800,529.0400
QQQ,2025-02-06 19:30:00,529.0900,529.3800,528.8800,529.3800
QQQ,2025-02-07 04:00:00,529.1000,529.5400,528.7300,529.0800
QQQ,2025-02-07 04:30:00,529.1600,529.6500,529.0900,529.4200
QQQ,2025-02-07 05:00:00,529.3600,529.6800,529.2300,529.6800
QQQ,2025-02-07 05:30:00,529.6300,529.6500,529.2200,529.3700
QQQ,2025-02-07 06:00:00,529.3700,529.5500,529.0200,529.2700
QQQ,2025-02-07 06:30:00,529.2500,529.8600,529.2200,529.7500
QQQ,2025-02-07 07:00:00,529.7600,529.8900,529.6200,529.7000
QQQ,2025-02-07 07:30:00,529.7000,529.8100,529.4600,529.6600
QQQ,2025-02-07 08:00:00,529.1870,530.0000,528.7700,529.1300
QQQ,2025-02-07 08:30:00,529.3500,531.0000,527.9000,529.9200
QQQ,2025-02-07 09:00:00,529.9400,530.3200,529.6250,530.1900
QQQ,2025-02-07 09:30:00,530.1400,532.1000,529.7900,530.6400
QQQ,2025-02-07 10:00:00,530.5700,530.5800,525.3500,526.8000
QQQ,2025-02-07 10:30:00,526.7700,528.1687,523.6800,526.2100
QQQ,2025-02-07 11:00:00,526.1800,527.0300,523.9100,524.5825
QQQ,2025-02-07 11:30:00,524.7000,525.3499,523.4900,523.9100
QQQ,2025-02-07 12:00:00,523.9500,525.0310,522.9100,523.8900
QQQ,2025-02-07 12:30:00,523.8500,527.1200,523.4500,524.5500
QQQ,2025-02-07 13:00:00,524.5600,526.4000,524.3900,525.9499
QQQ,2025-02-07 13:30:00,525.9200,526.2700,523.7600,523.8700
QQQ,2025-02-07 14:00:00,523.8000,524.1600,522.6000,522.7400
QQQ,2025-02-07 14:30:00,522.7500,523.8200,522.4600,523.4724
QQQ,2025-02-07 15:00:00,523.4400,523.4400,522.1900,522.6699
QQQ,2025-02-07 15:30:00,522.6500,523.7400,522.5700,522.9400
QQQ,2025-02-07 16:00:00,522.9200,529.7341,522.6800,522.9000
QQQ,2025-02-07 16:30:00,522.9200,523.1400,522.6300,522.7800
QQQ,2025-02-07 17:00:00,522.6900,522.9200,522.5005,522.5195
QQQ,2025-02-07 17:30:00,522.5199,522.9200,522.2700,522.3000
QQQ,2025-02-07 18:00:00,522.2900,522.2900,521.9350,522.1200
QQQ,2025-02-07 18:30:00,522.1200,522.2000,521.9122,521.9700
QQQ,2025-02-07 19:00:00,522.0000,522.0700,521.7700,521.8000
QQQ,2025-02-07 19:30:00,521.7950,521.9600,521.5327,521.7800
QQQ,2025-02-10 04:00:00,525.9000,526.0500,522.1900,525.9900
QQQ,2025-02-10 04:30:00,525.9900,526.0500,525.5000,525.9400
QQQ,2025-02-10 05:00:00,525.9400,526.4100,525.9100,526.3300
QQQ,2025-02-10 05:30:00,526.2700,526.5700,526.2100,526.3500
QQQ,2025-02-10 06:00:00,526.3400,526.8200,525.6400,526.7700
QQQ,2025-02-10 06:30:00,526.7600,526.9800,526.5800,526.7200
QQQ,2025-02-10 07:00:00,526.7200,527.0000,526.4000,526.5600
QQQ,2025-02-10 07:30:00,526.5600,526.6300,526.2200,526.6300
QQQ,2025-02-10 08:00:00,525.5877,527.2000,522.5280,527.1400
QQQ,2025-02-10 08:30:00,527.1500,527.7400,522.9200,527.6200
QQQ,2025-02-10 09:00:00,527.6500,527.9000,526.8000,527.2000
QQQ,2025-02-10 09:30:00,527.2200,528.3299,526.7500,527.9200
QQQ,2025-02-10 10:00:00,527.9300,529.8500,527.6850,529.6250
QQQ,2025-02-10 10:30:00,529.6400,530.3571,529.5600,529.6538
QQQ,2025-02-10 11:00:00,529.6800,530.3570,529.1800,529.4500
QQQ,2025-02-10 11:30:00,529.4500,529.8501,528.9820,529.8501
QQQ,2025-02-10 12:00:00,529.8300,529.8300,528.5200,528.7000
QQQ,2025-02-10 12:30:00,528.7200,529.7400,528.6700,529.7000
QQQ,2025-02-10 13:00:00,529.6500,529.9400,529.5050,529.6400
QQQ,2025-02-10 13:30:00,529.6501,530.1400,529.5339,529.9900
QQQ,2025-02-10 14:00:00,529.9600,530.0600,529.4600,529.7750
QQQ,2025-02-10 14:30:00,529.8000,529.8900,529.1700,529.6000
QQQ,2025-02-10 15:00:00,529.6100,529.9100,529.3700,529.6400
QQQ,2025-02-10 15:30:00,529.6300,529.7000,528.9400,529.2150
QQQ,2025-02-10 16:00:00,529.2100,529.3690,522.9133,528.9600
QQQ,2025-02-10 16:30:00,528.9600,529.2500,527.1500,529.0000
QQQ,2025-02-10 17:00:00,529.0150,529.2500,527.4200,528.9507
QQQ,2025-02-10 17:30:00,528.9500,529.7300,528.7600,528.8510
QQQ,2025-02-10 18:00:00,528.8500,528.8500,527.6100,527.8318
QQQ,2025-02-10 18:30:00,527.9200,528.2400,527.7700,528.0700
QQQ,2025-02-10 19:00:00,528.0700,529.2500,527.7800,528.0900
QQQ,2025-02-10 19:30:00,528.1878,528.5000,528.1200,528.3700
